Sentence,Summary,Greedy Search,Greedy Search Bert Score,Greedy Search Rouge Score,Beam Search,Beam Search Bert Score,Beam Search Rouge Score,Top-K,Top-K Bert Score,Top-K Rouge Score,Top-P,Top-P Bert Score,Top-P Rouge Score
"turnout was heavy for parliamentary elections monday in trinidad and tobago after a month of intensive campaigning throughout the country , one of the most prosperous in the caribbean .",trinidad and tobago poll draws heavy turnout by john babb,heavy turnout in trinidad and tob,0.8720110654830933,0.5,heavy turnout in trinidad and tobago,0.8876988887786865,0.625,heavy turnout expected at trinidad and,0.8535155653953552,0.5,heavy turnout for trinidad and tob,0.8660072684288025,0.5
jordan 's crown prince hassan ibn talal arrived tuesday for his first visit to jerusalem and was to pay his condolences to the widow of assassinated prime minister yitzhak rabin .,jordan 's crown prince makes first visit to jerusalem,jordan 's crown prince pays first,0.9338743686676025,0.6666666666666667,jordan 's crown prince pays first visit to,0.960038959980011,0.823529411764706,jordan 's crown prince pays condol,0.9300521612167358,0.5333333333333333,jordanian crown prince arrives in jer,0.8997862339019775,0.26666666666666666
poland 's main opposition party tuesday endorsed president lech walesa in an upcoming presidential run-off election after a reformed communist won the first round of voting .,walesa receives opposition boost,polish opposition party endorses wales,0.8731181621551514,0.22222222222222224,polish opposition endorses walesa,0.8947170376777649,0.5,polish opposition leader supports walesa,0.8883885741233826,0.4444444444444445,polish opposition party endorses wales,0.8731181621551514,0.22222222222222224
"the rand gained ground against the dollar at the opening here wednesday , to #.#### \/ ## to the greenback from #.#### \/ ## at the close tuesday .",rand gains ground,rand gains ground against dollar,0.9418860077857971,0.7499999999999999,rand gains ground against dollar,0.9418860077857971,0.7499999999999999,rand gains ground against dollar,0.9418860077857971,0.7499999999999999,rand rises against dollar,0.8962361812591553,0.28571428571428575
"arbitrary arrests , torture , prisoners dying in detention and the death penalty are current practices in guinea , human rights organization amnesty international said thursday in a report published here .",amnesty deplores human rights violations in guinea,amnesty international condemns guinea 's,0.8892424702644348,0.3333333333333333,amnesty international condemns guinea 's,0.8892424702644348,0.3333333333333333,rights group condemns guinea 's human,0.8714542984962463,0.4615384615384615,amnesty condemns guinea-biss,0.889976978302002,0.36363636363636365
"a young syrian woman who was arrested last year on terrorism charges at the airport here had a map of us military facilities in turkey , a canadian security official said thursday .",canada investigates syrian woman with alleged ties to pkk,syrian terror suspect had us military base,0.8426298499107361,0.125,syrian woman held in canada had,0.8579577207565308,0.4,canadian police say syrian woman arrested,0.9032562375068665,0.26666666666666666,syrian terror suspect had us military base,0.8426298499107361,0.125
hong kong signed a breakthrough air services agreement with the united states on friday that will allow us airlines to carry freight to asian destinations via the territory .,hong kong us sign breakthrough aviation pact,hong kong us sign breakthrough air,0.9284718632698059,0.7692307692307692,hong kong us sign breakthrough air services,0.9491645693778992,0.7142857142857143,hong kong us sign breakthrough cargo,0.9356882572174072,0.7692307692307692,hong kong us ink breakthrough air,0.9077392220497131,0.6153846153846153
a us citizen who spied for communist east germany was given a suspended jail sentence of ## months here friday .,us citizen who spied for east germans given suspended sentence,us spy for east germany given,0.869733452796936,0.5,us spy for east germany given,0.869733452796936,0.5,us citizen who spied for communist east,0.9289690256118774,0.7058823529411764,us spy given suspended sentence,0.9122743010520935,0.5333333333333333
davis love said he was thinking of making the world cup of golf a full time occupation after taking a ## stroke lead over japan in the event with us partner fred couples here on saturday .,americans lead UNK by ## strokes,love thinking of making world cup a full,0.8174467086791992,0.0,love thinking of making world cup a full,0.8174467086791992,0.0,world cup lead could become full-time,0.8301997780799866,0.16666666666666666,love wants world cup to be full time,0.8245008587837219,0.0
"france , still high after their convincing ##-## win over new zealand have named the same team for the second test next saturday in paris .",french keep same team for #nd test,france name unchanged team for second test,0.8898323774337769,0.42857142857142855,france name unchanged team for second test,0.8898323774337769,0.42857142857142855,france unchanged for second test against k,0.8736373782157898,0.2857142857142857,france name same team for second test,0.9084733128547668,0.5714285714285714
"#st quarter : chi - td , curtis conway ## UNK pass from erik kramer -lrb- kevin butler kick -rrb- , #:## .",chicago # ## # # ## green bay ## # # # ##,notes from monday 's game,0.762469470500946,0.0,notes from thursday 's nfl,0.769743800163269,0.0,notes from michigan state 's,0.77981036901474,0.0,los angeles ## nebraska ## los,0.8507260084152222,0.0
"at least ## people were killed when a nigeria airways airliner crashed on landing monday at kaduna airport in the north of the country , airport officials said .",nigerian plane crashes on landing killing at least ##,at least ## killed in nigerian,0.8986068964004517,0.4615384615384615,at least ## killed in nigerian,0.8986068964004517,0.4615384615384615,at least ## killed in nigerian,0.8986068964004517,0.4615384615384615,at least ## dead in nigerian,0.8912413120269775,0.4615384615384615
the four candidates in algeria 's first free presidential election held final rallies monday amid tight security as some voters began casting their ballots three days ahead of the main poll .,algerian presidential candidates wind up campaign by richard palmer,algerian presidential hopefuls hold,0.9045683741569519,0.30769230769230765,algerian presidential hopefuls hold,0.9045683741569519,0.30769230769230765,four candidates in algeria 's,0.854080319404602,0.14285714285714285,algeria presidential candidates in final rallies,0.9017515182495117,0.26666666666666666
the united nations children 's fund -lrb- unicef -rrb- has voiced concern over the plight of children in much of eastern europe where communism was abruptly dismantled and state services allowed to erode .,unicef concerned about welfare of children in former communist states,unicef concerned over children 's,0.9244130253791809,0.4,unicef concerned over children 's,0.9244130253791809,0.4,unicef warns of child poverty in,0.9340195655822754,0.37499999999999994,uniceAppData sanitarians take the,0.8254868388175964,0.0
"a swedish un soldier in bosnia was shot and killed by a stray bullet on tuesday in an incident authorities are calling an accident , military officials in stockholm said tuesday .",swedish un soldier in bosnia killed by stray bullet,swedish un soldier killed in bos,0.9341266751289368,0.6666666666666667,stray bullet kills swedish un,0.8776470422744751,0.5714285714285714,swedish un soldier in fatal shooting,0.9203295707702637,0.5333333333333333,swedish un soldier killed in bos,0.9341266751289368,0.6666666666666667
a us judge denied on tuesday a request for the extradition of former mexican deputy attorney general mario ruiz massieu to mexico where he is charged with a cover-up in his brother 's murder investigation .,us judge denies mexico 's extradition request for massieu,us judge denies extradition of former mex,0.9020885825157166,0.5,us judge denies extradition of former mexican,0.9071394801139832,0.5,us judge denies mexican ex-,0.8690877556800842,0.42857142857142855,us judge denies extradition of mexican,0.9146479964256287,0.5333333333333333
"fred west told the truth -- and should be believed -- when he exonerated his wife in the murders of ## young women before killing himself , a jury heard wednesday .",fred west told truth when he exonerated his wife of murder defense by UNK UNK,jury told of west s confession in wife,0.8219390511512756,0.3478260869565218,jury told of fred west 's,0.8323562145233154,0.3809523809523809,fred west said truth was told him jury,0.8739844560623169,0.3478260869565218,jury to decide if fred west s,0.8268568515777588,0.18181818181818182
"german chemical giant hoechst group announced plans wednesday to invest ### million dollars in china next year , with the idea of getting a strong foothold in the fast growing economy , xinhua news agency reported .",hoechst to invest total ### million us dollars in chinese operation,german chemical giant hoechst,0.8426707983016968,0.14285714285714288,german chemical giant hoechst,0.8426707983016968,0.14285714285714288,german chemical giant hoechst,0.8426707983016968,0.14285714285714288,german chemical giant hoechst,0.8426707983016968,0.14285714285714288
"roh tae-woo , the former south korean military UNK charged with corruption on thursday , oversaw the first tentative steps of his country 's transition from authoritarian rule to democracy .",roh coup plotter then democracy convert now in disgrace by UNK park,roh oversaw first tentative steps to democracy,0.8607398867607117,0.2105263157894737,roh tae-woo oversaw,0.7926747798919678,0.125,south korea 's ex-military,0.8165112733840942,0.0,roh 's arrest heralds change,0.8531714081764221,0.11764705882352941
a court here thursday sentenced a ##-year-old man to ## years in jail after he admitted pummelling his baby son to death to silence him while watching television .,man who killed baby to hear television better gets ## years,man jailed for ## years for killing baby,0.9223924875259399,0.3529411764705882,man jailed for ## years for killing baby,0.9223924875259399,0.3529411764705882,man jailed ## years after he killed his,0.8777679204940796,0.3529411764705882,father jailed for ## years for UNK,0.87864750623703,0.125
"president bill clinton said thursday he would propose a new plan to congress to reopen many government operations and end the budget impasse , but repeated his intention to veto a republican budget bill .",clinton congress offer plans to end budget impasse,clinton to propose new plan to end budget,0.9117254614830017,0.5,clinton to propose new plan to end budget,0.9117254614830017,0.5,clinton to submit new plan to open federal,0.8810667991638184,0.25,clinton to propose new plan to congress,0.8986637592315674,0.39999999999999997
"five east timorese youths who scaled the french embassy 's fence here thursday , left the embassy on their way to portugal friday .",UNK latest east timorese asylum seekers leave for portugal,east timorese youths leave french embassy,0.8773363828659058,0.4,east timorese youths leave french embassy,0.8773363828659058,0.4,east timorese youths leave french embassy,0.8773363828659058,0.4,east timorese youths leave french embassy,0.8773363828659058,0.4
"the repatriation of at least #,### bosnian moslems was postponed friday after the unhcr pulled out of the first joint scheme to return refugees to their homes in northwest bosnia .",repatriation of bosnian refugees postponed,return of bosnian moslem refugees delayed,0.943021297454834,0.5454545454545454,return of bosnian moslem refugees delayed,0.943021297454834,0.5454545454545454,unhcr pulls out of first refugee,0.8292525410652161,0.1818181818181818,unhcr pulls out of plan to,0.8138903975486755,0.1818181818181818
"the us space shuttle atlantis separated from the orbiting russian mir space station early saturday , after three days of test runs for life in a future space facility , nasa announced .",atlantis mir part ways after three-day space collaboration by emmanuel UNK,atlantis separates from mir space station,0.8671724796295166,0.3333333333333333,atlantis separates from mir space station,0.8671724796295166,0.3333333333333333,atlantis separates from russian space station,0.8662762641906738,0.2222222222222222,atlantis separates from mir,0.8901787400245667,0.25
"the shooting down of the largest transport plane in the sri lankan air force has wrecked supply lines and slowed a major government offensive against the tamil rebel citadel of jaffna , analysts said .",downing of plane slows sri lanka 's army onslaught on jaffna by amal jayasinghe,downing of sri lanka transport,0.8641270995140076,0.4210526315789473,downing of sri lankan,0.8503085970878601,0.3333333333333333,sri lankan air crash hits,0.8286782503128052,0.10526315789473682,downing of plane hampers s,0.8427621126174927,0.4210526315789473
outgoing polish president lech walesa and his ex-communist rival aleksander kwasniewski cast their ballots sunday in a tight contest for the presidency but managed some humor amid all the tension .,walesa kwasniewski cast ballot amid touch of humor,walesa kwasniewski,0.9419296979904175,0.4,walesa kwasniewski,0.9419296979904175,0.4,walesa kwasniewski,0.9419296979904175,0.4,walesa kwasniewski,0.9419296979904175,0.4
tea scores on the fourth day of the second test between australia and pakistan here monday .,australia vs pakistan tea scorecard,australia v pakistan,0.9103939533233643,0.5,australia v pakistan,0.9103939533233643,0.5,australia v pakistan,0.9103939533233643,0.5,australia v pakistan,0.9103939533233643,0.5
"the head of the russian-installed government in the breakaway republic of chechnya narrowly survived a bomb attack monday , the third assassination attempt against top russian officials in two months .",head of UNK chechen government survives bomb,chechen leader survives bomb attack,0.8957129716873169,0.5,chechnya 's pro-russian,0.8265153169631958,0.0,russian chechnya chief survives bomb,0.8912713527679443,0.3333333333333333,pro-russian chechen leader survives,0.8897783160209656,0.3333333333333333
"australia 's news corp announced monday it was joining brazil 's globo , mexico 's grupo televisa and the us tele-communications inc. in a venture to broadcast ### channels via satellite to latin america .",news corp globo televisa and tele-communications in satellite venture,news corp joins global tv venture in lat,0.8859989643096924,0.4444444444444445,australia 's news corp,0.7937751412391663,0.28571428571428575,news corp. globo televisa and,0.918412446975708,0.6666666666666666,news corp. joins globo mex,0.8794927000999451,0.4
"former israeli chief of staff ehud barak is to be appointed foreign minister in the new cabinet of prime minister shimon peres , an outgoing minister said tuesday .",barak to be named israel 's new fm outgoing minister says,barak to be new israeli,0.896246075630188,0.5000000000000001,barak to be new israeli,0.896246075630188,0.5000000000000001,former chief of staff barak to become,0.8288117051124573,0.2222222222222222,israel 's barak to be,0.8520370125770569,0.625
"indicted war criminals will not be allowed to hold office or serve in the military in post-war bosnia under a peace agreement for the balkans reached tuesday , us officials said .",balkan leaders to bar war criminals from office : clinton,indicted war criminals barred from bosnia,0.8783549070358276,0.4,indicted war criminals barred from bosnia,0.8783549070358276,0.4,indicted war criminals barred from bosnian,0.8693943023681641,0.4,us bosnia peace deal bars war criminals,0.8774301409721375,0.25
"japan 's collapsed kizu credit union , the largest such institution in the country , had incurred losses of ### billion yen -lrb- #.# billion dollars -rrb- , the bank of japan said wednesday .",UNK credit union losses at #.# bln dlrs : central bank,kizu credit union losses put at #,0.863592803478241,0.5333333333333333,bank of tokyo says kizu,0.7993554472923279,0.14285714285714285,kizu credit union lost #.# billion,0.8540830612182617,0.2857142857142857,kizu credit union 's losses of,0.8107631802558899,0.4
"nick leeson , the young futures trader blamed for the collapse of britain 's oldest merchant bank , rose from humble london origins to become the tragic golden boy of the asian financial el dorado .",UNK : ordinary boy who ruined britain 's oldest merchant bank by roberto UNK,leeson rose from humble roots to tragic,0.807557225227356,0.0,leeson rose from humble beginnings to tragic,0.8077085018157959,0.0,leeson rose from humble beginnings to tragic,0.8077085018157959,0.0,leeson the golden boy of asian,0.8221761584281921,0.10526315789473684
UNK,president mandela pilloried in nigeria,UNK UNK UNKT UNK,0.7854928970336914,0.0,UNK UNK 's UNK,0.7949983477592468,0.0,UNK UNK UNKS UNK,0.782447099685669,0.0,UNK at UNK 's UN,0.8188400268554688,0.0
malaysian prime minister mahathir mohamad indicated friday he would soon relinquish control of the ruling party to his deputy anwar ibrahim .,mahathir wants leadership change to be smooth,malaysia 's mahathir,0.8534471392631531,0.2,malaysia 's mahathir,0.8534471392631531,0.2,mahathir indicates he will soon,0.9176146388053894,0.16666666666666666,mahathir to relinquish party,0.9160400629043579,0.36363636363636365
"bosnian croat forces have begun torching homes in parts of western bosnia captured during a summer offensive but due to return to serb control under the dayton peace agreement , un officials said friday .",croats torch homes in areas due to return to serbs,bosnian croats torch homes in western,0.8815291523933411,0.5,bosnian croats torch homes in western bosnia,0.8818373084068298,0.47058823529411764,serbs accuse croats of setting new,0.8568737506866455,0.25,bosnian croats torch homes in former,0.877945601940155,0.5
"president robert mugabe 's pay packet will be more than doubled by july next year to a total of ###,### zimbabwe dollars -lrb- around ##,### us dollars -rrb- , the government announced saturday .",president mugabe 's salary doubled,mugabe 's pay packet doubled,0.9452829360961914,0.6,mugabe 's pay packet doubled,0.9452829360961914,0.6,mugabe 's pay packet doubled,0.9452829360961914,0.6,mugabe 's pay packet doubled,0.9452829360961914,0.6
"former french prime minister michel rocard and former us defense secretary robert mcnamara have agreed to serve on an australian commission working to ban nuclear weapons , prime minister paul keating said sunday .",former french pm to serve on keating commission to ban the bomb by jack taylor,former french us leaders to join austral,0.8525117039680481,0.27272727272727276,rocard mcnamara to serve on,0.8045623302459717,0.3,former leaders agree to australian panel,0.8357149362564087,0.19047619047619044,rocard mcnamara to join aust,0.8205870389938354,0.1
"former mexican president carlos salinas said sunday that he was astonished by charges that his brother was connected with the drug - trafficking underworld and that , if convicted , he should be punished .",former mexican president says he is astonished by brother 's arrest,former mexican president salinas says,0.8918907642364502,0.5000000000000001,former mexican president salinas says,0.8918907642364502,0.5000000000000001,former mexican president salinas defends,0.8955941200256348,0.37499999999999994,former mexican president salinas says,0.8918907642364502,0.5000000000000001
ministers from the european union and its mediterranean neighbors gathered here under heavy security on monday for an unprecedented conference on economic and political cooperation .,european mediterranean ministers gather for landmark conference by julie bradford,eu mediterranean ministers gather for unprecedented conference,0.9071401357650757,0.588235294117647,eu mediterranean ministers meet under heavy security,0.8804739117622375,0.23529411764705882,eu mediterranean states discuss cooperation,0.8646917939186096,0.13333333333333333,europe mediterranean meet in unprecedented security,0.8857955932617188,0.125
